SSTOERC,RAJ2000,DEJ2000,[3_6],[4_5],[5_8],[8_0],[24],Jmag,Hmag,Ksmag,e_[3_6],e_[4_5],e_[5_8],e_[8_0],e_[24],e_Jmag,e_Hmag,e_Ksmag,Type,Phase,f_Type,alpha,M,W
"G042.8310-01.0816",288.378937,8.300571,14.958,,,,,,,14.864,0.195,,,,,,,0.135,-100,0,"  ",,0,0
"G042.8281-01.0744",288.371155,8.301369,10.299,10.354,10.241,10.209,,12.588,11.139,10.573,0.007,0.009,0.032,0.041,,0.025,0.023,0.022,99,1,"  ",,0,0
"G042.8284-01.0754",288.372131,8.301187,,11.993,,,,,,,,0.027,,,,,,,-100,0,"  ",,0,0
"G042.8312-01.0753",288.373352,8.303689,13.842,13.647,,,,16.097,14.732,14.024,0.058,0.108,,,,0.114,0.070,0.093,99,2,"  ",,0,0
"G042.8330-01.0765",288.375275,8.304657,13.774,13.641,,,,16.083,14.680,14.069,0.053,0.106,,,,0.103,0.057,0.066,99,2,"  ",,0,0
"G042.8235-01.0683",288.363434,8.300081,,14.270,,,,15.324,14.758,14.505,,0.163,,,,0.054,0.070,0.102,-100,0,"  ",,0,0
"G042.8248-01.0709",288.366394,8.300058,11.532,11.538,11.581,11.444,,14.315,12.664,12.041,0.012,0.021,0.081,0.082,,0.037,0.027,0.024,99,1,"  ",,0,0
"G042.8266-01.0653",288.362274,8.304203,13.778,13.836,,,,,14.935,14.159,0.067,0.144,,,,,0.073,0.072,99,2,"  ",,0,0
"G042.8334-01.0742",288.373352,8.306109,11.991,11.956,11.921,11.447,,14.452,13.003,12.410,0.014,0.027,0.077,0.108,,0.045,0.034,0.030,99,1,"  ",,0,0
"G042.8309-01.0696",288.368073,8.306046,15.499,,,,,,,,0.232,,,,,,,,-100,0,"  ",,0,0
"G042.8283-01.0672",288.364716,8.304866,11.195,11.128,11.045,11.099,,13.093,11.886,11.473,0.011,0.018,0.045,0.071,,0.024,0.021,0.022,99,1,"  ",,0,0
"G042.8310-01.0676",288.366364,8.307022,12.585,12.661,13.018,,,15.135,13.622,13.065,0.025,0.044,0.207,,,0.059,0.050,0.046,99,2,"  ",,0,0
"G042.8339-01.0707",288.370483,8.308181,13.705,13.891,,,,,14.835,14.357,0.052,0.135,,,,,0.095,0.111,-100,0,"  ",,0,0
"G042.8344-01.0699",288.369995,8.308995,14.005,,,,,,15.161,,0.077,,,,,,0.107,,-100,0,"  ",,0,0
"G042.7385-00.9085",288.180573,8.298820,13.321,13.085,13.011,,,15.376,13.996,13.481,0.041,0.047,0.194,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7481-00.9268",288.201416,8.298902,12.832,12.694,,,,16.677,14.841,14.076,0.028,0.045,,,,0.023,0.020,0.021,99,2,"  ",,0,0
"G042.7507-00.9252",288.201202,8.301946,13.287,13.154,12.769,,,16.555,14.600,13.832,0.048,0.054,0.191,,,0.022,0.020,0.020,99,2,"  ",,0,0
"G042.7467-00.9221",288.196594,8.299821,13.672,13.418,,,,17.068,15.172,14.375,0.061,0.074,,,,0.025,0.021,0.021,99,2,"  ",,0,0
"G042.7475-00.9221",288.197021,8.300534,13.388,13.466,,,,16.873,14.925,14.106,0.044,0.073,,,,0.024,0.021,0.021,99,2,"  ",,0,0
"G042.7461-00.9189",288.193420,8.300753,12.883,12.817,,,,16.680,14.498,13.620,0.039,0.052,,,,0.023,0.020,0.020,99,2,"  ",,0,0
"G042.7490-00.9203",288.196075,8.302639,14.784,14.637,,,,15.824,15.069,14.750,0.127,0.185,,,,0.021,0.021,0.022,99,2,"  ",,0,0
"G042.7513-00.9224",288.199036,8.303709,11.846,11.834,11.555,11.829,,13.845,12.624,12.216,0.016,0.023,0.073,0.102,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7520-00.9216",288.198608,8.304760,13.096,13.110,,,,16.514,14.705,13.979,0.043,0.065,,,,0.022,0.020,0.021,99,2,"  ",,0,0
"G042.7449-00.9180",288.192047,8.300103,13.892,13.724,,,,17.444,15.346,14.495,0.072,0.092,,,,0.028,0.021,0.021,99,2,"  ",,0,0
"G042.7440-00.9149",288.188812,8.300729,13.254,13.276,,,,14.468,13.856,13.655,0.043,0.068,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7433-00.9133",288.187134,8.300853,12.163,12.139,12.140,12.267,,14.239,12.962,12.526,0.019,0.025,0.120,0.147,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7416-00.9096",288.182983,8.301067,13.947,13.997,,,,17.574,15.578,14.733,0.064,0.102,,,,0.030,0.022,0.022,99,2,"  ",,0,0
"G042.7440-00.9108",288.185242,8.302671,13.401,13.306,,,,16.483,14.772,14.058,0.046,0.078,,,,0.022,0.020,0.021,99,2,"  ",,0,0
"G042.7459-00.9126",288.187683,8.303464,13.781,13.739,,,,16.840,15.021,14.289,0.059,0.084,,,,0.023,0.021,0.021,99,2,"  ",,0,0
"G042.7477-00.9186",288.193939,8.302291,11.846,11.893,11.859,12.130,,13.962,12.647,12.194,0.017,0.025,0.099,0.147,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7525-00.9193",288.196777,8.306291,12.607,12.573,,,,14.843,13.560,13.101,0.031,0.043,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7482-00.9151",288.190979,8.304407,15.085,,,,,18.009,16.244,15.595,0.167,,,,,0.039,0.025,0.028,-100,0,"  ",,0,0
"G042.7500-00.9166",288.193176,8.305269,10.691,10.746,10.545,10.553,,12.422,11.280,10.908,0.008,0.011,0.035,0.041,,0.023,0.022,0.022,99,1,"  ",,0,0
"G042.7526-00.9157",288.193604,8.308042,12.935,13.024,,,,16.330,14.430,13.660,0.033,0.048,,,,0.022,0.020,0.020,99,2,"  ",,0,0
"G042.7912-01.0060",288.292511,8.300373,11.896,11.826,11.790,11.780,,13.679,12.536,12.111,0.016,0.024,0.067,0.106,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7851-00.9975",288.282104,8.298868,14.939,,,,,16.025,15.230,15.008,0.115,,,,,0.021,0.022,0.025,-100,0,"  ",,0,0
"G042.7887-01.0029",288.288666,8.299584,12.781,12.718,12.739,,,15.843,14.080,13.316,0.026,0.037,0.128,,,0.021,0.020,0.020,99,2,"  ",,0,0
"G042.7873-00.9983",288.283813,8.300514,13.950,,,,,16.471,15.381,14.958,0.058,,,,,0.023,0.023,0.024,-100,0,"  ",,0,0
"G042.7875-00.9974",288.283112,8.301120,13.153,13.041,13.056,,,16.249,14.490,13.906,0.035,0.051,0.185,,,0.022,0.021,0.021,99,2,"  ",,0,0
"G042.7918-01.0011",288.288391,8.303154,14.978,,,,,16.243,15.371,15.024,0.153,,,,,0.022,0.023,0.025,-100,0,"  ",,0,0
"G042.7909-01.0002",288.287201,8.302808,14.709,,,,,15.767,14.991,14.721,0.127,,,,,0.021,0.021,0.023,-100,0,"  ",,0,0
"G042.7917-00.9994",288.286865,8.303926,,14.634,,,,,,,,0.231,,,,,,,-100,0,"  ",,0,0
"G042.7838-00.9919",288.276489,8.300333,11.538,11.548,11.478,11.669,,13.265,12.185,11.790,0.014,0.019,0.058,0.100,,0.020,0.029,0.026,99,1,"  ",,0,0
"G042.7860-00.9929",288.278351,8.301794,12.950,12.790,,,,15.239,13.881,13.336,0.041,0.041,,,,0.020,0.020,0.020,99,2,"  ",,0,0
"G042.7815-00.9890",288.272766,8.299628,13.187,13.070,12.971,,,16.772,14.732,13.859,0.031,0.047,0.157,,,0.024,0.021,0.021,99,2,"  ",,0,0
"G042.7838-00.9889",288.273804,8.301768,13.507,,,,,15.722,14.674,14.085,0.059,,,,,0.021,0.021,0.021,-100,0,"  ",,0,0
"G042.7860-00.9916",288.277222,8.302466,11.161,11.178,11.064,11.294,,13.168,11.877,11.359,0.013,0.019,0.053,0.094,,0.020,0.037,0.035,99,1,"  ",,0,0
"G042.7847-00.9880",288.273376,8.302985,13.683,13.687,,,,15.231,14.398,14.051,0.049,0.085,,,,0.020,0.021,0.021,99,2,"  ",,0,0
"G042.7863-00.9895",288.275482,8.303637,12.787,12.790,,,,16.241,14.327,13.464,0.033,0.057,,,,0.022,0.020,0.020,99,2,"  ",,0,0
"G042.7892-00.9967",288.283264,8.302921,13.564,13.505,,,,14.774,14.007,13.754,0.049,0.070,,,,0.020,0.020,0.021,99,2,"  ",,0,0
"G042.7887-00.9937",288.280396,8.303882,14.571,,,,,15.896,15.145,14.888,0.136,,,,,0.021,0.022,0.024,-100,0,"  ",,0,0
"G042.7925-00.9967",288.284821,8.305813,11.748,11.736,11.828,11.435,,14.942,13.159,12.379,0.014,0.021,0.081,0.081,,0.020,0.020,0.020,99,1,"  ",,0,0
"G042.7882-00.9927",288.279205,8.303857,14.029,13.913,,,,17.155,15.280,14.522,0.101,0.097,,,,0.028,0.022,0.022,99,2,"  ",,0,0
"G042.7908-00.9938",288.281403,8.305639,13.972,14.272,,,,15.871,14.755,14.336,0.065,0.125,,,,0.021,0.021,0.022,99,2,"  ",,0,0
"G042.7939-00.9921",288.281372,8.309243,12.967,12.952,,,,16.374,14.546,13.777,0.039,0.050,,,,0.022,0.021,0.021,99,2,"  ",,0,0
"G042.8004-01.0262",288.314941,8.299143,13.254,13.135,,,,16.035,14.402,,0.043,0.057,,,,0.119,0.077,,-100,0,"  ",,0,0
"G042.7996-01.0254",288.313873,8.298798,,,13.810,,,,,,,,0.444,,,,,,-100,0,"  ",,0,0
"G042.8083-01.0414",288.332275,8.299085,13.073,12.978,,,,15.402,13.859,13.446,0.038,0.057,,,,0.073,0.052,0.065,99,2,"  ",,0,0
"G042.8060-01.0369",288.327179,8.299097,13.717,13.584,,,,16.053,14.651,14.027,0.113,0.126,,,,0.108,0.072,0.078,99,2,"  ",,0,0
"G042.8072-01.0361",288.327026,8.300573,13.433,13.309,,,,,14.693,14.009,0.051,0.075,,,,,0.064,0.081,99,2,"  ",,0,0
"G042.8111-01.0386",288.331055,8.302919,14.325,,,,,15.682,,,0.067,,,,,0.088,,,-100,0,"  ",,0,0
"G042.8100-01.0371",288.329224,8.302557,12.064,11.985,12.022,11.970,,13.702,12.655,12.262,0.016,0.037,0.086,0.116,,0.041,0.038,0.037,99,1,"  ",,0,0
"G042.8117-01.0371",288.329987,8.304168,13.037,13.003,,,,,14.250,13.684,0.040,0.068,,,,,0.068,0.090,99,2,"  ",,0,0
"G042.8024-01.0291",288.318512,8.299553,13.004,12.880,12.966,,,15.645,13.920,13.349,0.028,0.041,0.181,,,0.061,0.032,0.029,99,2,"  ",,0,0
"G042.8045-01.0322",288.322235,8.300043,12.104,12.050,11.798,12.068,,14.130,12.810,12.383,0.017,0.025,0.076,0.131,,0.033,0.028,0.030,99,1,"  ",,0,0
"G042.8064-01.0343",288.325073,8.300725,11.777,11.766,11.760,11.844,,13.268,12.260,11.947,0.016,0.023,0.068,0.107,,0.028,0.029,0.030,99,1,"  ",,0,0
"G042.8018-01.0265",288.315857,8.300294,14.457,,,,,16.334,15.257,,0.105,,,,,0.123,0.108,,-100,0,"  ",,0,0
"G042.8099-01.0326",288.325165,8.304605,11.072,11.292,11.178,11.088,,13.255,11.985,11.500,0.010,0.017,0.048,0.056,,0.029,0.029,0.026,99,1,"  ",,0,0
"G042.8116-01.0361",288.329041,8.304486,13.425,13.314,,,,,14.027,13.841,0.035,0.076,,,,,0.093,0.082,99,2,"  ",,0,0
"G042.8132-01.0351",288.328949,8.306368,14.894,,,,,15.821,14.965,,0.174,,,,,0.106,0.090,,-100,0,"  ",,0,0
"G042.8087-01.0299",288.322144,8.304785,13.745,13.320,,,,14.696,14.040,13.700,0.055,0.070,,,,0.046,0.045,0.062,99,2,"  ",,0,0
"G042.8086-01.0285",288.320892,8.305362,12.401,12.305,12.425,,,14.390,13.130,12.729,0.025,0.031,0.115,,,0.061,0.049,0.049,99,2,"  ",,0,0
"G042.8136-01.0334",288.327576,8.307522,14.622,,,,,16.371,,,0.118,,,,,0.120,,,-100,0,"  ",,0,0
"G042.8188-01.0612",288.354858,8.299217,13.611,13.562,,,,14.878,14.192,13.922,0.056,0.091,,,,0.044,0.055,0.059,99,2,"  ",,0,0
"G042.8173-01.0569",288.350372,8.299926,,14.309,,,,,,,,0.161,,,,,,,-100,0,"  ",,0,0
"G042.8175-01.0546",288.348419,8.301080,16.419,,,,,,,,0.574,,,,,,,,-100,0,"  ",,0,0
"G042.8197-01.0554",288.350128,8.302768,14.554,,,,,16.239,15.178,14.755,0.071,,,,,0.123,0.084,0.120,-100,0,"  ",,0,0
"G042.8219-01.0585",288.353943,8.303221,14.435,,,,,15.057,14.632,14.543,0.088,,,,,0.051,0.052,0.098,-100,0,"  ",,0,0
"G042.8209-01.0572",288.352325,8.302948,14.889,14.656,,,,15.970,15.147,,0.120,0.251,,,,0.100,0.083,,-100,0,"  ",,0,0
"G042.8152-01.0511",288.344147,8.300709,,,,12.400,,,,,,,,0.246,,,,,-100,0,"  ",,0,0
"G042.8166-01.0505",288.344299,8.302274,12.288,12.322,12.257,,,,13.414,12.822,0.018,0.035,0.091,,,,0.034,0.034,99,2,"  ",,0,0
"G042.8157-01.0503",288.343750,8.301542,12.042,,11.822,11.523,,,12.843,12.363,0.015,,0.072,0.103,,,0.055,0.057,-100,0,"  ",,0,0
"G042.8146-01.0461",288.339386,8.302511,15.156,,,,,,,,0.134,,,,,,,,-100,0,"  ",,0,0
"G042.8158-01.0473",288.341095,8.302996,14.117,,,,,15.792,,,0.069,,,,,0.094,,,-100,0,"  ",,0,0
"G042.8161-01.0461",288.340118,8.303864,12.201,12.212,12.348,,,14.447,,,0.020,0.038,0.101,,,0.058,,,-100,0,"  ",,0,0
"G042.8186-01.0490",288.343842,8.304703,,,,13.892,,,,,,,,0.789,,,,,-100,0,"  ",,0,0
"G042.8193-01.0477",288.343079,8.305870,14.747,14.184,,,,16.210,15.219,14.824,0.105,0.136,,,,0.115,0.098,0.132,-100,0,"  ",,0,0
"G042.8197-01.0483",288.343811,8.305993,,,,14.661,,,,,,,,1.668,,,,,-100,0,"  ",,0,0
"G042.8222-01.0486",288.345215,8.308036,12.050,12.085,11.798,,,14.016,12.913,,0.023,0.032,0.076,,,0.047,0.040,,-100,0,"  ",,0,0
"G042.8222-01.0632",288.358307,8.301284,12.958,13.009,,,,15.467,13.986,13.305,0.044,0.057,,,,0.078,0.057,0.053,99,2,"  ",,0,0
"G042.8227-01.0633",288.358582,8.301715,,13.248,,,,,,,,0.073,,,,,,,-100,0,"  ",,0,0
"G042.8274-01.0635",288.361053,8.305780,14.122,13.885,,,,,15.386,14.805,0.085,0.116,,,,,0.115,0.126,-100,0,"  ",,0,0
"G042.8231-01.0597",288.355621,8.303746,13.197,13.133,,,,13.889,13.364,13.278,0.036,0.063,,,,0.033,0.035,0.049,99,2,"  ",,0,0
"G042.8238-01.0589",288.355194,8.304711,13.343,13.288,,,,,,,0.041,0.067,,,,,,,-100,0,"  ",,0,0
"G042.8254-01.0610",288.357819,8.305155,15.323,,,,,,,,0.285,,,,,,,,-100,0,"  ",,0,0
"G042.8267-01.0608",288.358276,8.306350,13.735,13.771,,,,,14.957,14.182,0.071,0.116,,,,,0.076,0.081,99,2,"  ",,0,0
"G042.8294-01.0655",288.363678,8.306630,14.198,,,,,,,14.579,0.096,,,,,,,0.113,-100,0,"  ",,0,0
"G042.8305-01.0664",288.365112,8.307203,13.598,,,,,14.974,14.101,13.948,0.066,,,,,0.071,0.049,0.073,-100,0,"  ",,0,0
"G042.8322-01.0658",288.365326,8.308969,14.292,14.202,,,,,15.311,,0.087,0.139,,,,,0.101,,-100,0,"  ",,0,0
"G042.8350-01.0654",288.366302,8.311620,14.254,,,,,15.431,14.547,14.340,0.072,,,,,0.060,0.053,0.083,-100,0,"  ",,0,0
"G042.8342-01.0646",288.365173,8.311305,14.344,,,,,,,,0.081,,,,,,,,-100,0,"  ",,0,0
"G042.8321-01.0630",288.362762,8.310160,13.727,13.522,,,,14.887,14.431,14.362,0.118,0.132,,,,0.064,0.064,0.090,99,2,"  ",,0,0
"G042.8268-01.0549",288.353027,8.309284,10.135,10.187,10.073,10.037,,12.291,10.981,10.480,0.007,0.009,0.028,0.042,,0.025,0.023,0.022,99,1,"  ",,0,0
"G042.8243-01.0528",288.350006,8.308029,14.679,,,,,,,,0.144,,,,,,,,-100,0,"  ",,0,0
"G042.8287-01.0509",288.350281,8.312776,12.257,12.331,12.149,12.058,,14.212,13.019,12.582,0.017,0.031,0.098,0.143,,0.026,0.017,0.027,99,1,"  ",,0,0
"G042.8307-01.0531",288.353241,8.313473,15.474,,,,,,,,0.256,,,,,,,,-100,0,"  ",,0,0
"G042.8315-01.0593",288.359131,8.311381,7.577,7.589,7.480,7.463,,8.566,7.871,7.683,0.002,0.003,0.006,0.006,,0.024,0.033,0.031,99,1,"  ",,0,0
"G042.8333-01.0569",288.357880,8.314082,12.007,12.091,12.209,,,13.774,12.674,12.242,0.050,0.068,0.142,,,0.093,0.084,0.074,99,2,"  ",,0,0
"G042.8325-01.0554",288.356171,8.314079,14.315,,,,,15.769,14.863,,0.099,,,,,0.112,0.081,,-100,0,"  ",,0,0
"G042.8340-01.0557",288.357147,8.315214,12.419,12.417,12.488,11.882,,14.355,13.193,,0.022,0.042,0.152,0.160,,0.044,0.038,,99,1,"  ",,0,0
"G042.8178-01.0441",288.339172,8.306304,10.743,10.843,10.693,10.725,,13.559,11.913,11.232,0.008,0.012,0.030,0.045,,0.028,0.023,0.024,99,1,"  ",,0,0
"G042.8142-01.0376",288.331604,8.306108,14.149,13.816,,,,,15.017,14.594,0.080,0.106,,,,,0.086,0.110,-100,0,"  ",,0,0
"G042.8159-01.0414",288.335846,8.305808,10.303,10.277,10.140,10.048,,12.277,11.025,10.526,0.007,0.009,0.022,0.035,,0.022,0.023,0.022,99,1,"  ",,0,0
"G042.8189-01.0419",288.337708,8.308252,12.847,12.988,12.819,,,,,,0.032,0.047,0.138,,,,,,-100,0,"  ",,0,0
"G042.8217-01.0470",288.343567,8.308348,,,,13.931,,,,,,,,0.983,,,,,-100,0,"  ",,0,0
"G042.8205-01.0449",288.341095,8.308339,13.533,13.590,,,,15.028,14.236,14.008,0.049,0.079,,,,0.047,0.038,0.064,99,2,"  ",,0,0
"G042.8209-01.0417",288.338409,8.310165,12.246,12.202,12.130,12.333,,12.815,12.425,12.325,0.020,0.030,0.101,0.137,,0.025,0.023,0.034,99,1,"  ",,0,0
"G042.8238-01.0434",288.341278,8.311932,10.905,10.964,10.757,10.811,,13.564,11.997,11.306,0.010,0.014,0.046,0.054,,0.037,0.029,0.026,99,1,"  ",,0,0
"G042.8253-01.0447",288.343201,8.312607,,,,12.648,,,,,,,,0.344,,,,,-100,0,"  ",,0,0
"G042.8231-01.0417",288.339447,8.312132,13.660,13.984,,,,,14.934,14.347,0.061,0.112,,,,,0.091,0.083,99,2,"  ",,0,0
"G042.8144-01.0362",288.330475,8.306873,13.235,13.333,,,,,14.473,13.825,0.038,0.065,,,,,0.076,0.078,99,2,"  ",,0,0
"G042.8164-01.0372",288.332336,8.308235,13.058,13.080,12.774,,,15.662,14.179,13.559,0.037,0.063,0.187,,,0.082,0.046,0.050,99,2,"  ",,0,0
"G042.8181-01.0385",288.334259,8.309114,13.149,13.273,,,,15.961,14.452,13.844,0.034,0.060,,,,0.092,0.051,0.064,99,2,"  ",,0,0
"G042.8155-01.0312",288.326508,8.310170,13.087,13.039,,,,14.725,13.638,13.324,0.036,0.055,,,,0.043,0.037,0.043,99,2,"  ",,0,0
"G042.8183-01.0345",288.330719,8.311170,14.997,,,,,15.835,15.423,,0.137,,,,,0.089,0.115,,-100,0,"  ",,0,0
"G042.8260-01.0398",288.339081,8.315523,12.954,13.061,,,,14.416,13.703,13.359,0.040,0.084,,,,0.051,0.054,0.081,99,2,"  ",,0,0
"G042.8259-01.0383",288.337708,8.316101,14.309,,,,,15.341,14.807,14.399,0.129,,,,,0.067,0.096,0.095,-100,0,"  ",,0,0
"G042.8217-01.0364",288.334076,8.313263,11.303,11.241,11.023,10.978,,13.674,12.166,11.555,0.012,0.015,0.048,0.055,,0.024,0.023,0.026,99,1,"  ",,0,0
"G042.8215-01.0351",288.332794,8.313775,13.934,,,,,,,,0.091,,,,,,,,-100,0,"  ",,0,0
"G042.8237-01.0367",288.335297,8.314890,13.659,13.475,,,,,14.923,14.106,0.044,0.082,,,,,0.079,0.064,99,2,"  ",,0,0
"G042.8239-01.0338",288.332825,8.316457,13.340,13.382,,,,,,,0.042,0.072,,,,,,,-100,0,"  ",,0,0
"G042.8270-01.0377",288.337738,8.317417,13.389,13.490,13.354,,,14.591,13.902,13.678,0.048,0.084,0.208,,,0.050,0.053,0.066,99,2,"  ",,0,0
"G042.8250-01.0351",288.334473,8.316860,14.246,14.059,,,,,15.039,14.555,0.076,0.114,,,,,0.091,0.104,-100,0,"  ",,0,0
"G042.8276-01.0466",288.346008,8.313792,13.513,13.527,,,,15.622,14.400,,0.052,0.086,,,,0.075,0.045,,-100,0,"  ",,0,0
"G042.8309-01.0488",288.349457,8.315747,14.031,14.000,,,,,,,0.105,0.137,,,,,,,-100,0,"  ",,0,0
"G042.8262-01.0442",288.343170,8.313636,,,,12.233,,,,,,,,0.175,,,,,-100,0,"  ",,0,0
"G042.8287-01.0456",288.345612,8.315195,14.371,,,,,15.476,14.780,,0.101,,,,,0.076,0.075,,-100,0,"  ",,0,0
"G042.8324-01.0476",288.349121,8.317590,14.643,,,,,,,,0.224,,,,,,,,-100,0,"  ",,0,0
"G042.8345-01.0506",288.352753,8.318092,8.136,8.190,8.064,8.049,,10.514,9.070,8.467,0.003,0.004,0.008,0.009,,0.022,0.021,0.021,99,1,"  ",,0,0
"G042.8362-01.0465",288.349854,8.321463,12.534,12.553,12.449,,,14.751,13.451,12.892,0.030,0.045,0.136,,,0.043,0.031,0.034,99,2,"  ",,0,0
"G042.8385-01.0507",288.354767,8.321509,11.882,11.860,11.929,11.631,,14.705,13.043,12.311,0.024,0.037,0.081,0.112,,0.056,0.045,0.040,99,1,"  ",,0,0
"G042.8381-01.0489",288.352966,8.321994,13.889,,,,,15.258,14.332,14.120,0.120,,,,,0.069,0.061,0.090,-100,0,"  ",,0,0
"G042.8276-01.0409",288.340851,8.316485,9.268,9.370,9.170,9.175,,11.030,9.933,9.476,0.005,0.006,0.014,0.017,,0.022,0.023,0.021,99,1,"  ",,0,0
"G042.8318-01.0443",288.345917,8.318572,14.682,,,,,,,,0.111,,,,,,,,-100,0,"  ",,0,0
"G042.8318-01.0409",288.342804,8.320188,,,,11.856,,,,,,,,0.127,,,,,-100,0,"  ",,0,0
"G042.8341-01.0415",288.344421,8.321912,15.255,,,,,,,,0.161,,,,,,,,-100,0,"  ",,0,0
"G042.8310-01.0395",288.341217,8.320046,13.616,13.617,,,,14.484,14.011,13.918,0.053,0.084,,,,0.029,0.029,0.063,99,2,"  ",,0,0
"G042.8331-01.0399",288.342529,8.321732,,,,11.881,,,,,,,,0.126,,,,,-100,0,"  ",,0,0
"G042.8381-01.0454",288.349823,8.323590,14.244,,,,,,,,0.114,,,,,,,,-100,0,"  ",,0,0
"G042.8373-01.0434",288.347626,8.323904,11.426,11.458,11.340,11.602,,12.694,11.853,11.570,0.012,0.020,0.056,0.111,,0.029,0.029,0.030,99,1,"  ",,0,0
"G042.8351-01.0388",288.342438,8.324049,,,,11.667,,,,,,,,0.099,,,,,-100,0,"  ",,0,0
"G042.7987-01.0232",288.311432,8.299039,14.629,14.702,,,,,15.196,,0.082,0.201,,,,,0.086,,-100,0,"  ",,0,0
